Date,Time,PM2.5,PM2.5 AQI,,PM2.5 AQI
01-01-2023,1:00 AM,324.4,245,,238
01-01-2023,2:00 AM,366.8,240,,243
01-01-2023,3:00 AM,290.7,245,,250
01-01-2023,4:00 AM,245.4,252,,254
01-01-2023,5:00 AM,220.3,256,,259
01-01-2023,6:00 AM,180.2,261,,262
01-01-2023,7:00 AM,140,264,,264
01-01-2023,8:00 AM,125,266,,265
01-01-2023,9:00 AM,111,267,,265
01-01-2023,10:00 AM,112,267,,264
01-01-2023,11:00 AM,129.4,266,,263
01-01-2023,12:00 PM,184.1,265,,261
01-01-2023,1:00 PM,284.8,263,,261
01-01-2023,2:00 PM,372.3,263,,263
01-01-2023,3:00 PM,456.7,265,,270
01-01-2023,4:00 PM,404.8,272,,282
01-01-2023,5:00 PM,328.1,284,,290
01-01-2023,6:00 PM,274.4,292,,296
01-01-2023,7:00 PM,285,298,,299
01-01-2023,8:00 PM,354.9,301,,500
01-01-2023,9:00 PM,395.5,502,,500
01-01-2023,10:00 PM,392.7,502,,500
01-01-2023,11:00 PM,442.1,502,,500
01/01/2023 24:00 AM,,414.5,502,,500
02-01-2023,1:00 AM,391.2,502,,500
02-01-2023,2:00 AM,375.1,502,,500
02-01-2023,3:00 AM,310,502,,500
02-01-2023,4:00 AM,NoData,502,,500
02-01-2023,5:00 AM,NoData,502,,500
02-01-2023,6:00 AM,181.9,502,,500
02-01-2023,7:00 AM,152.5,502,,500
02-01-2023,8:00 AM,130.7,502,,500
02-01-2023,9:00 AM,127.8,502,,500
02-01-2023,10:00 AM,142.4,502,,500
02-01-2023,11:00 AM,190.3,502,,500
02-01-2023,12:00 PM,197.1,502,,500
02-01-2023,1:00 PM,243.1,502,,500
02-01-2023,2:00 PM,271.5,502,,500
02-01-2023,3:00 PM,246.1,502,,500
02-01-2023,4:00 PM,189.9,502,,500
02-01-2023,5:00 PM,162.1,502,,500
02-01-2023,6:00 PM,178.4,502,,500
02-01-2023,7:00 PM,201.5,502,,500
02-01-2023,8:00 PM,253.3,502,,500
02-01-2023,9:00 PM,289.7,502,,500
02-01-2023,10:00 PM,358,502,,298
02-01-2023,11:00 PM,380.7,300,,296
02/01/2023 24:00 AM,,300,298,,294
03-01-2023,1:00 AM,202.4,296,,288
03-01-2023,2:00 AM,150.5,290,,280
03-01-2023,3:00 AM,130.9,282,,270
03-01-2023,4:00 AM,128.8,272,,262
03-01-2023,5:00 AM,110.5,264,,258
03-01-2023,6:00 AM,92.2,260,,254
03-01-2023,7:00 AM,108,256,,250
03-01-2023,8:00 AM,93.9,252,,249
03-01-2023,9:00 AM,92.8,251,,247
03-01-2023,10:00 AM,107.9,249,,246
03-01-2023,11:00 AM,163.5,248,,244
03-01-2023,12:00 PM,186.9,246,,243
03-01-2023,1:00 PM,226.5,245,,243
03-01-2023,2:00 PM,233.1,245,,242
03-01-2023,3:00 PM,230.9,244,,240
03-01-2023,4:00 PM,172.2,242,,240
03-01-2023,5:00 PM,163.3,242,,239
03-01-2023,6:00 PM,180.1,241,,239
03-01-2023,7:00 PM,184.5,241,,239
03-01-2023,8:00 PM,235.5,241,,238
03-01-2023,9:00 PM,274.4,240,,238
03-01-2023,10:00 PM,321.2,240,,237
03-01-2023,11:00 PM,307.5,239,,236
03/01/2023 24:00 AM,,275,238,,233
04-01-2023,1:00 AM,303.3,235,,232
04-01-2023,2:00 AM,293.5,234,,236
04-01-2023,3:00 AM,282.8,238,,242
04-01-2023,4:00 AM,217.4,244,,248
04-01-2023,5:00 AM,127.8,250,,252
04-01-2023,6:00 AM,96.6,254,,252
04-01-2023,7:00 AM,91.3,254,,252
04-01-2023,8:00 AM,96.3,254,,252
04-01-2023,9:00 AM,101.5,254,,252
04-01-2023,10:00 AM,111.7,254,,252
04-01-2023,11:00 AM,168.6,254,,252
04-01-2023,12:00 PM,247.4,254,,253
04-01-2023,1:00 PM,309.7,255,,255
04-01-2023,2:00 PM,319,257,,258
04-01-2023,3:00 PM,NoData,260,,262
04-01-2023,4:00 PM,NoData,264,,261
04-01-2023,5:00 PM,NoData,263,,263
04-01-2023,6:00 PM,NoData,265,,265
04-01-2023,7:00 PM,NoData,267,,267
04-01-2023,8:00 PM,NoData,269,,269
04-01-2023,9:00 PM,NoData,271,,268
04-01-2023,10:00 PM,NoData,270,,NoData
04-01-2023,11:00 PM,NoData,#VALUE!,,NoData
04/01/2023 24:00 AM,,NoData,#VALUE!,,NoData
05-01-2023,1:00 AM,NoData,#VALUE!,,NoData
05-01-2023,2:00 AM,NoData,#VALUE!,,NoData
05-01-2023,3:00 AM,NoData,#VALUE!,,NoData
05-01-2023,4:00 AM,NoData,#VALUE!,,NoData
05-01-2023,5:00 AM,NoData,#VALUE!,,NoData
05-01-2023,6:00 AM,NoData,#VALUE!,,NoData
05-01-2023,7:00 AM,NoData,#VALUE!,,NoData
05-01-2023,8:00 AM,NoData,#VALUE!,,NoData
05-01-2023,9:00 AM,NoData,#VALUE!,,NoData
05-01-2023,10:00 AM,NoData,#VALUE!,,NoData
05-01-2023,11:00 AM,NoData,#VALUE!,,NoData
05-01-2023,12:00 PM,NoData,#VALUE!,,NoData
05-01-2023,1:00 PM,NoData,#VALUE!,,NoData
05-01-2023,2:00 PM,NoData,#VALUE!,,NoData
05-01-2023,3:00 PM,NoData,#VALUE!,,NoData
05-01-2023,4:00 PM,NoData,#VALUE!,,NoData
05-01-2023,5:00 PM,NoData,#VALUE!,,NoData
05-01-2023,6:00 PM,NoData,#VALUE!,,NoData
05-01-2023,7:00 PM,NoData,#VALUE!,,NoData
05-01-2023,8:00 PM,NoData,#VALUE!,,NoData
05-01-2023,9:00 PM,NoData,#VALUE!,,NoData
05-01-2023,10:00 PM,NoData,#VALUE!,,NoData
05-01-2023,11:00 PM,NoData,#VALUE!,,NoData
05/01/2023 24:00 AM,,NoData,#VALUE!,,NoData
06-01-2023,1:00 AM,NoData,#VALUE!,,NoData
06-01-2023,2:00 AM,NoData,#VALUE!,,NoData
06-01-2023,3:00 AM,NoData,#VALUE!,,NoData
06-01-2023,4:00 AM,NoData,#VALUE!,,NoData
06-01-2023,5:00 AM,NoData,#VALUE!,,NoData
06-01-2023,6:00 AM,NoData,#VALUE!,,NoData
06-01-2023,7:00 AM,NoData,#VALUE!,,NoData
06-01-2023,8:00 AM,NoData,#VALUE!,,NoData
06-01-2023,9:00 AM,NoData,#VALUE!,,NoData
06-01-2023,10:00 AM,NoData,#VALUE!,,NoData
06-01-2023,11:00 AM,NoData,#VALUE!,,NoData
06-01-2023,12:00 PM,NoData,#VALUE!,,NoData
06-01-2023,1:00 PM,NoData,#VALUE!,,NoData
06-01-2023,2:00 PM,NoData,#VALUE!,,NoData
06-01-2023,3:00 PM,NoData,#VALUE!,,NoData
06-01-2023,4:00 PM,NoData,#VALUE!,,NoData
06-01-2023,5:00 PM,NoData,#VALUE!,,NoData
06-01-2023,6:00 PM,NoData,#VALUE!,,NoData
06-01-2023,7:00 PM,NoData,#VALUE!,,NoData
06-01-2023,8:00 PM,NoData,#VALUE!,,NoData
06-01-2023,9:00 PM,NoData,#VALUE!,,NoData
06-01-2023,10:00 PM,NoData,#VALUE!,,NoData
06-01-2023,11:00 PM,NoData,#VALUE!,,NoData
06/01/2023 24:00 AM,,297.1,#VALUE!,,NoData
07-01-2023,1:00 AM,271,#VALUE!,,NoData
07-01-2023,2:00 AM,NoData,#VALUE!,,NoData
07-01-2023,3:00 AM,NoData,#VALUE!,,NoData
07-01-2023,4:00 AM,NoData,#VALUE!,,NoData
07-01-2023,5:00 AM,NoData,#VALUE!,,NoData
07-01-2023,6:00 AM,NoData,#VALUE!,,NoData
07-01-2023,7:00 AM,NoData,#VALUE!,,NoData
07-01-2023,8:00 AM,NoData,#VALUE!,,NoData
07-01-2023,9:00 AM,NoData,#VALUE!,,NoData
07-01-2023,10:00 AM,NoData,#VALUE!,,NoData
07-01-2023,11:00 AM,NoData,#VALUE!,,NoData
07-01-2023,12:00 PM,214.7,#VALUE!,,NoData
07-01-2023,1:00 PM,238.5,#VALUE!,,NoData
07-01-2023,2:00 PM,254.1,#VALUE!,,NoData
07-01-2023,3:00 PM,199.4,#VALUE!,,NoData
07-01-2023,4:00 PM,164.2,#VALUE!,,NoData
07-01-2023,5:00 PM,154,#VALUE!,,NoData
07-01-2023,6:00 PM,157.7,#VALUE!,,NoData
07-01-2023,7:00 PM,210.3,#VALUE!,,NoData
07-01-2023,8:00 PM,260.4,#VALUE!,,NoData
07-01-2023,9:00 PM,335.8,#VALUE!,,NoData
07-01-2023,10:00 PM,379.3,#VALUE!,,NoData
07-01-2023,11:00 PM,459.4,#VALUE!,,NoData
07/01/2023 24:00 AM,,398.1,#VALUE!,,NoData
08-01-2023,1:00 AM,397,#VALUE!,,NoData
08-01-2023,2:00 AM,353.7,#VALUE!,,NoData
08-01-2023,3:00 AM,306.4,#VALUE!,,NoData
08-01-2023,4:00 AM,254.3,#VALUE!,,NoData
08-01-2023,5:00 AM,203.1,#VALUE!,,NoData
08-01-2023,6:00 AM,176.7,#VALUE!,,500
08-01-2023,7:00 AM,173.4,502,,500
08-01-2023,8:00 AM,192.6,502,,500
08-01-2023,9:00 AM,203.3,502,,500
08-01-2023,10:00 AM,236.2,502,,500
08-01-2023,11:00 AM,265,502,,500
08-01-2023,12:00 PM,248.5,502,,500
08-01-2023,1:00 PM,211.8,502,,500
08-01-2023,2:00 PM,167.7,502,,500
08-01-2023,3:00 PM,149.9,502,,500
08-01-2023,4:00 PM,147,502,,500
08-01-2023,5:00 PM,133.3,502,,500
08-01-2023,6:00 PM,139.2,502,,500
08-01-2023,7:00 PM,171.6,502,,299
08-01-2023,8:00 PM,207.8,301,,297
08-01-2023,9:00 PM,233.2,299,,295
08-01-2023,10:00 PM,250.1,297,,291
08-01-2023,11:00 PM,265.5,293,,285
08/01/2023 24:00 AM,,269.7,287,,277
09-01-2023,1:00 AM,238.9,279,,272
09-01-2023,2:00 AM,251,274,,266
09-01-2023,3:00 AM,250,268,,261
09-01-2023,4:00 AM,235.4,263,,259
09-01-2023,5:00 AM,226.2,261,,258
09-01-2023,6:00 AM,217.7,260,,259
09-01-2023,7:00 AM,239.2,261,,261
